iter	Passed	Remaining
0	2	2302
1	4	2212
2	6	2167
3	8	2151
4	10	2086
5	12	2057
6	14	2022
7	16	1993
8	17	1972
9	19	1944
10	22	2011
11	24	1998
12	26	2036
13	28	2018
14	30	2014
15	32	2015
16	35	2026
17	36	1998
18	38	1983
19	40	1979
20	43	2010
21	45	2002
22	47	2000
23	48	1992
24	50	1979
25	52	1982
26	54	1975
27	56	1963
28	58	1957
29	60	1951
30	62	1942
31	63	1934
32	65	1931
33	67	1907
34	68	1899
35	70	1898
36	73	1910
37	75	1905
38	77	1901
39	79	1910
40	81	1899
41	83	1893
42	84	1887
43	86	1883
44	88	1876
45	90	1874
46	91	1861
47	94	1866
48	95	1862
49	97	1859
50	99	1857
51	101	1853
52	103	1850
53	104	1839
54	106	1834
55	108	1833
56	111	1836
57	112	1831
58	114	1830
59	116	1827
60	118	1827
61	120	1828
62	122	1825
63	124	1821
64	126	1818
65	128	1816
66	130	1815
67	132	1815
68	134	1817
69	136	1817
70	138	1815
71	140	1811
72	142	1809
73	144	1806
74	146	1804
75	148	1803
76	150	1800
77	152	1798
78	154	1795
79	155	1791
80	157	1787
81	159	1788
82	161	1786
83	163	1782
84	165	1781
85	167	1777
86	169	1776
87	171	1778
88	173	1774
89	175	1770
90	177	1774
91	179	1772
92	181	1767
93	182	1763
94	184	1759
95	186	1756
96	188	1755
97	190	1753
98	192	1749
99	193	1744
100	195	1738
101	196	1733
102	198	1732
103	200	1727
104	202	1725
105	204	1724
106	206	1723
107	208	1720
108	210	1717
109	211	1713
110	213	1711
111	215	1709
112	217	1704
113	218	1700
114	220	1700
115	222	1697
116	224	1694
117	226	1693
118	228	1691
119	230	1688
120	231	1685
121	233	1681
122	235	1681
123	237	1679
124	239	1679
125	241	1675
126	243	1674
127	245	1673
128	247	1672
129	249	1671
130	251	1667
131	253	1664
132	254	1662
133	257	1662
134	259	1661
135	261	1660
136	263	1661
137	265	1657
138	267	1656
139	269	1653
140	271	1652
141	274	1657
142	276	1655
143	278	1653
144	280	1654
145	282	1650
146	283	1646
147	285	1644
148	287	1643
149	289	1640
150	291	1640
151	293	1638
152	295	1636
153	297	1633
154	299	1630
155	301	1629
156	303	1627
157	304	1624
158	306	1622
159	308	1620
160	310	1616
161	312	1614
162	313	1611
163	315	1607
164	316	1603
165	318	1601
166	320	1599
167	322	1596
168	324	1595
169	326	1594
170	328	1592
171	330	1588
172	331	1586
173	333	1585
174	335	1582
175	337	1581
176	339	1578
177	340	1574
178	342	1571
179	343	1566
180	345	1563
181	347	1560
182	349	1558
183	351	1557
184	353	1555
185	354	1552
186	356	1549
187	358	1549
188	360	1547
189	362	1544
190	364	1542
191	365	1538
192	367	1535
193	368	1532
194	370	1529
195	372	1526
196	373	1523
197	375	1522
198	377	1519
199	379	1517
200	381	1517
201	383	1514
202	385	1513
203	387	1511
204	389	1509
205	391	1509
206	393	1506
207	394	1503
208	396	1499
209	398	1497
210	400	1496
211	401	1493
212	403	1490
213	405	1488
214	406	1485
215	408	1482
216	410	1479
217	411	1477
218	413	1474
219	415	1472
220	417	1471
221	419	1470
222	421	1468
223	423	1467
224	425	1466
225	427	1463
226	429	1463
227	431	1461
228	433	1458
229	434	1455
230	436	1452
231	437	1449
232	439	1447
233	441	1444
234	443	1443
235	445	1440
236	446	1438
237	448	1435
238	449	1432
239	451	1429
240	453	1427
241	455	1425
242	456	1423
243	458	1420
244	460	1418
245	462	1416
246	463	1414
247	465	1412
248	467	1409
249	469	1407
250	470	1405
251	472	1402
252	474	1401
253	476	1399
254	478	1397
255	480	1395
256	481	1392
257	483	1390
258	485	1388
259	487	1386
260	488	1383
261	490	1381
262	492	1378
263	493	1376
264	495	1373
265	496	1371
266	498	1369
267	500	1367
268	502	1365
269	504	1363
270	505	1361
271	507	1359
272	509	1356
273	511	1354
274	512	1351
275	514	1349
276	516	1347
277	517	1345
278	519	1342
279	521	1340
280	523	1338
281	524	1336
282	526	1334
283	528	1332
284	530	1330
285	531	1327
286	533	1325
287	535	1323
288	537	1321
289	538	1319
290	540	1317
291	542	1315
292	544	1314
293	547	1313
294	548	1311
295	550	1308
296	552	1306
297	554	1305
298	556	1304
299	558	1302
300	560	1300
301	562	1299
302	563	1297
303	565	1295
304	567	1293
305	569	1290
306	570	1288
307	572	1286
308	574	1283
309	575	1281
310	577	1280
311	579	1278
312	581	1276
313	583	1273
314	584	1271
315	586	1270
316	588	1267
317	590	1265
318	591	1263
